Date,Team 1,Team 1 Score,Team 2,Team 2 Score,
9/25/15,@Lakehead,88,Manitoba,81,
9/26/15,@Lakehead,80,Manitoba,73,
10/1/15,@Lakehead,78,Winnipeg,73,
10/2/15,@Concordia QC,77,Queen's ON,76,
10/2/15,Winnipeg,76,@Lakehead,73,
10/2/15,@Nipissing,84,Bishop's,70,
10/2/15,Ottawa ON,90,Alberta,62,
10/2/15,Saskatchewan,91,Fraser Val,82,
10/2/15,St Mary's NS,83,Laval,60,
10/2/15,McGill,83,@Toronto,64,
10/2/15,@Brit Columbia,79,Guelph,68,
10/2/15,@Okanagan,92,Univ Lethbridge,86,
10/2/15,UPEI,97,@New Brunswick,88,
10/2/15,Memorial,85,Northern BC,71,
10/2/15,Carleton ON,80,@Victoria,47,
10/3/15,Carleton ON,71,Fraser Val,67,
10/3/15,McGill,62,@McMaster,59,
10/3/15,Memorial,84,Alberta,72,
10/3/15,Western ON,88,@Nipissing,69,
10/3/15,Ottawa ON,84,@Brit Columbia,77,
10/3/15,Univ Lethbridge,89,@Okanagan,55,
10/3/15,St Mary's NS,100,@New Brunswick,94,
10/3/15,Northern BC,101,Guelph,80,
10/3/15,Laval,97,UPEI,95,
10/3/15,Saskatchewan,95,@Victoria,72,
10/4/15,Alberta,88,Guelph,77,
10/4/15,@Ryerson,69,McGill,66,
10/4/15,Saskatchewan,82,Carleton ON,80,
10/4/15,@Brit Columbia,88,Memorial,81,
10/4/15,@New Brunswick,101,Laval,75,
10/4/15,Ottawa ON,105,Northern BC,72,
10/4/15,St Mary's NS,113,UPEI,107,
10/4/15,@Victoria,76,Fraser Val,49,
10/4/15,Western ON,73,Bishop's,53,
10/8/15,@Acadia,98,St Mary's NS,83,
10/8/15,Brock,103,@Brandon,86,
10/8/15,@Calgary,93,Saskatchewan,81,
10/8/15,@Concordia QC,82,Laurentian,57,
10/8/15,St Fran Xavier,91,@Toronto,75,
10/8/15,UPEI,101,Laurier,93,
10/9/15,@Calgary,76,Alberta,64,
10/9/15,@Concordia QC,79,Laurier,60,
10/9/15,@Lakehead,79,Algoma,60,
10/9/15,Grant MacEwan,65,@Manitoba,64,
10/9/15,Saskatchewan,69,@Mt Royal,62,
10/9/15,Fraser Val,90,@Trinity Western,81,
10/9/15,UPEI,93,Laurentian,87,
10/9/15,Dalhousie,83,@Waterloo,70,
10/9/15,Brock,81,Winnipeg,52,
10/9/15,@York ON,106,St Fran Xavier,96,
10/10/15,@Concordia QC,82,UPEI,70,
10/10/15,@Fraser Val,77,Trinity Western,68,
10/10/15,@Guelph,87,St Fran Xavier,78,
10/10/15,@Lakehead,73,Algoma,68,
10/10/15,Laurentian,95,Laurier,84,
10/10/15,Brock,79,@Manitoba,75,
10/10/15,@McMaster,81,Dalhousie,61,
10/10/15,@Mt Royal,53,Alberta,50,
10/10/15,Winnipeg,75,Grant MacEwan,66,
10/11/15,@Brandon,114,Grant MacEwan,107,
10/15/15,@McMaster,90,Cape Breton,68,
10/15/15,Concordia QC,80,@Saskatchewan,67,
10/15/15,Windsor,94,Regina,80,
10/16/15,Lakeland AB,110,@Augustana AB,61,
10/16/15,@Calgary,88,Mt Royal,66,
10/16/15,@Carleton ON,91,Acadia,69,
10/16/15,@St Lambert,93,John Abbott,82,
10/16/15,Memorial,78,@Guelph,77,
10/16/15,N Alberta Tech,73,@Keyano,67,
10/16/15,Cape Breton,82,@Queen's ON,67,
10/16/15,Concordia QC,85,Regina,79,
10/16/15,St Mary's AB,93,@S Alberta Tech,92,
10/16/15,@Saskatchewan,106,Windsor,99,
10/16/15,Dalhousie,102,St Mary's NS,100,
10/16/15,Bishop's,81,Toronto,76,
10/16/15,Okanagan,78,Trinity Western,64,
10/16/15,@UPEI,94,New Brunswick,81,
10/16/15,Ottawa ON,117,UQAM,67,
10/16/15,@Vanier,83,Ed Montpetit,65,
10/16/15,Dawson,77,@Brebeuf,69,
10/17/15,Bishop's,79,Acadia,68,
10/17/15,@Calgary,80,Mt Royal,78,
10/17/15,@Carleton ON,101,Toronto,56,
10/17/15,@Concordia AB,82,Grande Prairie,67,
10/17/15,@Keyano,68,N Alberta Tech,67,
10/17/15,@Lakeland AB,69,Augustana AB,53,
10/17/15,@Laurier,102,Memorial,90,
10/17/15,@Queen's ON,89,UQAM,87,
10/17/15,@Saskatchewan,90,Regina,87,
10/17/15,St Mary's NS,112,@St Fran Xavier,108,
10/17/15,@St Mary's AB,89,S Alberta Tech,83,
10/17/15,@Thompson Riv,74,Trinity Western,48,
10/17/15,Ottawa ON,95,Cape Breton,69,
10/17/15,Concordia QC,84,Windsor,75,
10/17/15,McGill,77,York ON,58,
10/18/15,@Carleton ON,88,Bishop's,60,
10/18/15,Grande Prairie,88,@Concordia AB,85,
10/18/15,Ottawa ON,98,@Queen's ON,75,
10/18/15,@Ryerson,103,Memorial,89,
10/18/15,Toronto,83,Acadia,79,
10/18/15,Cape Breton,98,UQAM,85,
10/18/15,McGill,108,Waterloo,56,
10/20/15,George Brown,72,@Loyalist,59,
10/21/15,Fleming,84,@Centennial Col,78,
10/21/15,@Georgian,93,Durham,59,
10/22/15,@Brock,99,Victoria,69,
10/22/15,@Guelph,74,Bishop's,55,
10/22/15,Univ Lethbridge,85,@Grant MacEwan,67,
10/22/15,Nipissing,94,Acadia,85,
10/22/15,St Fran Xavier,86,Calgary,84,
10/22/15,Western ON,71,@Cape Breton,62,
10/22/15,UPEI,84,Regina,79,
10/23/15,@Northwest WA,81,Vancouver Island,62,
10/23/15,@St Lawrence ON,77,Fleming,57,
10/23/15,La Cite,61,@Algonquin,49,
10/23/15,Mohawk,65,@Sault,56,
10/23/15,Eastern Oregon,88,@Simpson CA,77,
10/23/15,@Lindenwood-Belleville,95,SW Christian,86,
10/23/15,@Alberta,99,Northern BC,45,
10/23/15,King's AB,93,@Augustana AB,71,
10/23/15,@Brock,74,Concordia QC,68,
10/23/15,@Ed Montpetit,91,Sainte-Foy,85,
10/23/15,@Concordia AB,88,Lakeland AB,86,
10/23/15,Dalhousie,82,Algoma,53,
10/23/15,Vanier,71,@Dawson,53,
10/23/15,Keyano,92,@Grande Prairie,82,
10/23/15,@John Abbott,98,Montmorency,87,
10/23/15,@Laurier,81,Bishop's,72,
10/23/15,Manitoba,92,Brandon,74,
10/23/15,@McMaster,95,Victoria,78,
10/23/15,Univ Lethbridge,96,Queen's ON,95,
10/23/15,Regina,107,Acadia,94,
10/23/15,St Mary's NS,85,Laurentian,76,
10/23/15,Calgary,68,@Cape Breton,63,
10/23/15,UPEI,96,Nipissing,74,
10/23/15,Ryerson,83,UQAM,67,
10/23/15,Western ON,83,St Fran Xavier,72,
10/23/15,Windsor,76,Lakehead,59,
10/23/15,Fraser Val,71,@Winnipeg,64,
10/23/15,York ON,93,Waterloo,78,
10/23/15,@Brebeuf,96,St Lambert,94,
10/24/15,Mohawk,82,@Sault,73,
10/24/15,@George Brown,77,Durham,69,
10/24/15,@Lambton,83,Humber,74,
10/24/15,Sheridan ON,86,@St Clair,72,
10/24/15,@Canadore,67,Georgian,61,
10/24/15,Niagara ON,99,@Cambrian,68,
10/24/15,@Simpson CA,88,Eastern Oregon,81,
10/24/15,@Harris-Stowe,73,IN Southeast,51,
10/24/15,Queen's ON,74,@Alberta,68,
10/24/15,@Brock,92,Ryerson,83,
10/24/15,Keyano,83,@Grande Prairie,70,
10/24/15,Victoria,71,@Guelph,65,
10/24/15,@King's AB,91,Augustana AB,86,
10/24/15,Concordia AB,83,@Lakeland AB,74,
10/24/15,Bishop's,79,Laurentian,77,
10/24/15,St Mary's NS,91,@Laurier,87,
10/24/15,@Lethbridge Col,101,St Mary's AB,91,
10/24/15,Fraser Val,72,Manitoba,67,
10/24/15,@Morthland,106,SW Christian,75,
10/24/15,Calgary,100,Regina,88,
10/24/15,St Fran Xavier,94,Nipissing,81,
10/24/15,Toronto,76,Algoma,65,
10/24/15,Acadia,69,@Cape Breton,57,
10/24/15,Univ Lethbridge,83,Northern BC,56,
10/24/15,UQAM,75,Waterloo,58,
10/24/15,Western ON,95,UPEI,83,
10/24/15,Windsor,84,Concordia QC,65,
10/24/15,@Winnipeg,73,Brandon,61,
10/24/15,Lakehead,72,York ON,71,
10/24/15,@Ambrose,89,Medicine Hat,72,
10/24/15,@York NE,103,Yellowstone Chr,69,
10/25/15,Niagara ON,98,@Cambrian,81,
10/25/15,@St Clair,90,Humber,87,O1
10/25/15,Sheridan ON,82,@Lambton,76,
10/25/15,@Brock,94,Windsor,92,
10/25/15,Queen's ON,83,@Grant MacEwan,75,
10/25/15,@McMaster,83,St Mary's NS,69,
10/25/15,Ryerson,82,Concordia QC,74,
10/25/15,Dalhousie,73,Toronto,72,
10/25/15,Lakehead,77,Waterloo,60,
10/25/15,UQAM,63,York ON,56,
10/26/15,@Judson IL,75,Andrews,66,
10/26/15,@Talladega,90,Oakwood,80,
10/27/15,@Bethel IN,103,IN S Bend,84,
10/27/15,Doane,99,@Bethany KS,76,
10/27/15,St Catharine,80,@IN Southeast,76,
10/27/15,Thomas GA,79,@Point,65,
10/27/15,@Durham,76,Seneca,61,
10/27/15,@Mid-Am Chr,103,Haskell,72,
10/28/15,@Dakota St,105,Mt Marty,63,
10/28/15,@Loyalist,80,Fleming,43,
10/28/15,Redeemer,83,@Fanshawe,71,
10/28/15,@Calumet-St Jos,73,Andrews,31,
10/28/15,Clarke,72,@Governors St,49,
10/28/15,Oakwood,97,@Bryan,94,
10/28/15,Judson IL,83,@Indiana NW,81,
10/29/15,Wm Jessup,57,@UC Merced,56,
10/29/15,Briar Cliff,97,@William Penn,65,
10/29/15,@Grandview,76,Morningside,68,
10/29/15,@Xavier LA,75,Webber,73,
10/29/15,@Quest,81,Langara,62,
10/29/15,@Lethbridge Col,96,Ambrose,84,
10/30/15,Daytona St,84,Atlanta Metro,59,
10/30/15,Otero JC,74,@Barton Co,71,
10/30/15,@Miles CC,88,Bismarck St,68,
10/30/15,SW MO St-WP,79,Butler Co-KS,77,
10/30/15,Chipola,79,@Indian River,76,
10/30/15,@E Florida St,94,USC Salkehatchie,77,
10/30/15,@NW Florida St,98,Georgia Highlands,72,
10/30/15,Gulf Coast CC,87,Lamar St,74,
10/30/15,@Highland CC IL,71,Southwestern CC,67,
10/30/15,Laramie Co,78,Northwest WY,57,
10/30/15,@IL Central,86,Lincoln Trail,71,
10/30/15,@McLennan CC,75,Southern-Shreve,64,
10/30/15,Mineral Area,91,Olive-Harvey,65,
10/30/15,Olney,68,Motlow St,66,
10/30/15,@New Mexico JC,61,Trinidad St JC,58,
10/30/15,@W Oklahoma St,92,NM Military,84,
10/30/15,Salt Lake CC,101,Northeastern JC,92,
10/30/15,N OK-Tonkawa,57,Fort Scott CC,46,
10/30/15,Trinity Valley CC,79,Odessa,76,
10/30/15,S Georgia Tech,69,@Pensacola St,63,
10/30/15,@Snead St,66,W Georgia Tech,63,
10/30/15,@Tallahassee CC,64,SW Tennessee,26,
10/30/15,@Tyler JC,81,Brookhaven,67,
10/30/15,Rock Valley,78,@Vincennes,66,
10/30/15,Cincinnati St Tech,73,Parkland,71,
10/30/15,@Richard Bland,81,Frederick CC,59,
10/30/15,Sandhills CC,106,Howard CC MD,88,
10/30/15,Pasco-Hernando,86,Jefferson CC,75,
10/30/15,Rockland CC,86,Sprfld Tech CC,80,
10/30/15,@Col Cent Florida,87,ASA Miami,62,
10/30/15,Aquinas,85,Spring Arbor,84,
10/30/15,Bellevue,92,Hastings,86,
10/30/15,@IN Wesleyan,95,Cornerstone,90,
10/30/15,Lourdes,78,@St Xavier IL,65,
10/30/15,MT Western,90,@Univ Lethbridge,84,
10/30/15,Southwestern KS,94,SW Christian,69,
10/30/15,@Valley City St,83,Viterbo,75,
10/30/15,@Grandview,76,Briar Cliff,74,
10/30/15,Lindsey Wilson,79,Dalton St,71,
10/30/15,J&W CO,84,@Doane,82,
10/30/15,@William Penn,91,Morningside,77,
10/30/15,Union KY,84,@St Catharine,55,
10/30/15,Seneca,85,@Canadore,84,
10/30/15,@Algonquin,67,George Brown,56,
10/30/15,Edward Waters,70,@Ave Maria,51,
10/30/15,@OK Wesleyan,122,Bacone,96,
10/30/15,Biola,84,@Benedictine AZ,60,
10/30/15,Carroll MT,80,@Menlo,67,
10/30/15,@Coastal GA,77,Voorhees,74,
10/30/15,Dakota Wesleyan,71,@Mayville St,67,
10/30/15,@York NE,72,Friends,64,
10/30/15,@Indiana Tech,91,Wilberforce,79,
10/30/15,St Francis IN,89,Madonna,75,
10/30/15,@MT St Northern,87,Warner Pacific,80,
10/30/15,@AL Southern,82,Delgado CC,68,
10/30/15,@Hutchinson CC,83,Labette CC,44,
10/30/15,Williston St,84,Northeast CC,83,
10/30/15,@Mohawk Val,83,Queensborough,53,
10/30/15,Panola,81,Carl Albert,65,
10/30/15,@Gillette,76,Dawson CC,55,
10/30/15,Hill Col,119,Richland,95,
10/30/15,@ND St Science,80,Rainy River CC,63,
10/30/15,@Ancilla,84,Mid-Michigan CC,69,
10/30/15,Faulkner St,89,Albany Tech,85,
10/30/15,@Brewton-Parker,79,Morris SC,77,
10/30/15,AK Anchorage,74,Upper Iowa,71,
10/30/15,Cal Baptist,84,Moorhead St,80,O1
10/30/15,W Washington,95,Col Springs,84,
10/30/15,Point Park,104,SUNY-Delhi,83,
10/30/15,Univ of Southwest,105,SW Adventist,77,
10/30/15,@Danville CC,87,Columbus St CC,75,
10/30/15,@Cal Maritime,92,W Coast Bap,64,
10/30/15,@Loyola NO,96,Webber,74,
10/30/15,Grace Bib,81,@Boyce,65,
10/30/15,@St Lambert,82,Dawson,76,
10/30/15,Vanier,85,@Sainte-Foy,73,
10/30/15,Augustana AB,83,@Concordia AB,61,
10/30/15,Lakeland AB,88,@King's AB,85,
10/30/15,@N Alberta Tech,87,Grande Prairie,80,
10/30/15,@Ottawa ON,91,York ON,79,
10/30/15,Johnson TN,89,@Piedmont Bap,85,
10/30/15,@Providence MB,86,Oak Hills Chr,72,
10/30/15,@Red Deer,111,S Alberta Tech,70,
10/30/15,@Brit Columbia,87,Mt Royal,71,
10/30/15,McGill,91,New Brunswick,84,
10/30/15,@Vancouver Island,87,Camosun,59,
10/30/15,@Villa Maria,69,SUNY-ESF,62,
10/30/15,@Montmorency,91,Brebeuf,86,
10/30/15,@Southeastern FL,84,Point,82,
10/31/15,@AL Southern,94,Albany Tech,79,
10/31/15,Angelina,79,Western Texas,57,
10/31/15,@E Florida St,88,Atlanta Metro,76,
10/31/15,@State Fair CC,101,Butler Co-KS,77,
10/31/15,@Col Cent Florida,73,St Petersburg,66,
10/31/15,Wallace St,84,@Cleveland St CC,70,
10/31/15,@Cowley Co,85,Fort Scott CC,72,
10/31/15,Daytona St,78,USC Salkehatchie,50,
10/31/15,Georgia Highlands,83,Tallahassee CC,76,
10/31/15,S Georgia Tech,71,Gulf Coast CC,68,
10/31/15,@Marshalltown CC,99,Highland CC IL,96,
10/31/15,Howard Col,69,San Jacinto-C,64,
10/31/15,@Hutchinson CC,73,North Lake,68,
10/31/15,@Indian River,81,Santa Fe CC,66,
10/31/15,@Kennedy-King,57,Cuyahoga CC,54,
10/31/15,@Northwest KS Tech,92,Lamar CC,81,
10/31/15,@Pensacola St,74,Lamar St,65,
10/31/15,@W Wyoming CC,81,Laramie Co,77,
10/31/15,Odessa,80,Lee TX,60,
10/31/15,Lewis & Clark CC,65,@StL CC-Meramec,53,
10/31/15,Trinity Valley CC,63,Midland TX,61,
10/31/15,@New Mexico JC,72,W Oklahoma St,70,
10/31/15,NM Military,86,Trinidad St JC,82,
10/31/15,Snow Col,78,Northeastern JC,70,
10/31/15,@NW Florida St,88,SW Tennessee,58,
10/31/15,Rock Valley,83,Olney,57,
10/31/15,Paris JC,78,@Weatherford,69,
10/31/15,@Tyler JC,84,SW Chr TX,71,
10/31/15,@Three Rivers,89,Olive-Harvey,57,
10/31/15,CCBC-Dundalk,96,@Burlington Co,93,
10/31/15,@Carl Sandburg,91,Lincoln Col,90,
10/31/15,@Danville CC,79,Cincinnati St Tech,77,
10/31/15,@Louisburg,106,Howard CC MD,81,
10/31/15,@Lansing CC,108,Owens CC,104,
10/31/15,Niagara Co,100,@Tompkins Cortland,96,
10/31/15,@Potomac St-WVU,87,Prince George's,71,
10/31/15,@IN Wesleyan,84,Aquinas,70,
10/31/15,@Cal Maritime,79,Carroll MT,76,
10/31/15,@Campbellsville,85,Dalton St,73,
10/31/15,Cornerstone,94,Spring Arbor,41,
10/31/15,Dakota Wesleyan,88,@Jamestown,73,
10/31/15,@Lewis-Clark ID,117,Multnomah Bib,75,
10/31/15,Baker KS,82,@Ottawa KS,74,
10/31/15,@Talladega,120,Freed-Hardeman,113,
10/31/15,Hastings,69,@York NE,63,
10/31/15,J&W FL,96,@Point,75,
10/31/15,@Shawnee St,62,Northwestern OH,54,
10/31/15,@Canadore,81,Durham,53,
10/31/15,@La Cite,80,George Brown,65,
10/31/15,Lambton,85,@Fanshawe,81,
10/31/15,@Mohawk,100,St Clair,99,
10/31/15,@St Lawrence ON,81,Georgian,66,
10/31/15,@Sheridan ON,108,Cambrian,46,
10/31/15,@Algonquin,70,Centennial Col,62,
10/31/15,@Humber,71,Sault,53,
10/31/15,Asbury,87,@Fisk,69,
10/31/15,Southwestern KS,127,Bacone,84,
10/31/15,Bellevue,75,Friends,52,
10/31/15,Mid-Am Chr,115,@Bethany KS,95,
10/31/15,Voorhees,80,@Brewton-Parker,71,
10/31/15,@Cincinnati Chr,77,Madonna,66,
10/31/15,@Concordia NE,89,J&W CO,49,
10/31/15,@Grace IN,76,Wilberforce,67,
10/31/15,@MT-Great Falls,76,Warner Pacific,64,
10/31/15,McPherson,81,@Haskell,73,
10/31/15,Viterbo,68,@Mayville St,59,
10/31/15,SW Christian,87,@OK Wesleyan,76,
10/31/15,Oregon Tech,87,Simpson CA,73,
10/31/15,SW Assemb God,65,@Paul Quinn,57,
10/31/15,Faulkner St,79,Delgado CC,67,
10/31/15,Motlow St,78,@Vincennes,66,
10/31/15,Parkland,76,Columbus St CC,65,
10/31/15,Pasco-Hernando,71,@Mohawk Val,67,
10/31/15,Panola,74,@Collin Co,60,
10/31/15,Hill Col,89,Southern-Shreve,63,
10/31/15,@Rockland CC,91,Columbia Greene,61,
10/31/15,Jefferson CC,108,Queensborough,64,
10/31/15,United Tribes,123,@Little Big Horn,73,
10/31/15,Northeast CC,81,@ND St Science,76,
10/31/15,Williston St,99,Rainy River CC,70,
10/31/15,Jamestown CC,95,Corning CC,75,
10/31/15,South Plains,91,Carl Albert,77,
10/31/15,@McLennan CC,82,Richland,55,
10/31/15,Pratt CC,82,Otero JC,71,
10/31/15,Biola,95,@Embry-Riddle AZ,62,
10/31/15,Purdue-N Cent,80,@Brescia,77,
10/31/15,Trinity IL,69,@Clarke,66,
10/31/15,@Morris SC,83,Coastal GA,78,
10/31/15,@Marian IN,75,Lawrence Tech,51,
10/31/15,Cal Baptist,79,AK Anchorage,68,
10/31/15,Moorhead St,86,Col Springs,71,
10/31/15,W Washington,90,Upper Iowa,75,
10/31/15,@Judson IL,91,Governors St,86,
10/31/15,@IN S Bend,77,Andrews,44,
10/31/15,Point Park,118,SUNY-ESF,60,
10/31/15,@Wayland,117,SW Adventist,67,
10/31/15,@Warren Wilson,75,Florida Col,64,
10/31/15,Benedictine KS,62,@Bethel KS,55,
10/31/15,Concordia AB,76,@Augustana AB,56,
10/31/15,Medicine Hat,81,@Briercrest,68,
10/31/15,@Capilano,91,Douglas,79,
10/31/15,@Lakeland AB,86,King's AB,64,
10/31/15,@N Alberta Tech,86,Grande Prairie,80,
10/31/15,@Olds,105,St Mary's AB,92,
10/31/15,@Ottawa ON,102,New Brunswick,82,
10/31/15,@Providence MB,72,Oak Hills Chr,60,
10/31/15,Southeastern FL,102,Pensacola Chr,85,
10/31/15,@Trinity Bap,68,Trinity FL,60,
10/31/15,Mt Royal,65,@Trinity Western,58,
10/31/15,@Villa Maria,77,SUNY-Delhi,72,
10/31/15,McGill,90,York ON,67,
10/31/15,Holland,122,@Dalhousie Ag,46,
11/1/15,@Broward CC,89,Chipola,79,
11/1/15,Trinity Valley CC,66,Carl Albert,61,
11/1/15,Odessa,79,@Collin Co,54,
11/1/15,@New Mexico JC,76,NM Military,63,
11/1/15,Western Texas,88,Panola,70,
11/1/15,San Jacinto-C,85,South Plains,59,
11/1/15,Trinidad St JC,68,W Oklahoma St,53,
11/1/15,Richard Bland,99,@CCBC-Dundalk,94,
11/1/15,Niagara Co,70,Corning CC,61,
11/1/15,Pasco-Hernando,92,Schenectady Co,80,
11/1/15,@Dutchess CC,81,Ulster Co,75,
11/1/15,@Sullivan Co,88,UConn-AP,57,
11/1/15,@Cincinnati Chr,68,St Francis IN,56,
11/1/15,@Southern Oregon,85,Simpson CA,54,
11/1/15,Col Springs,79,AK Anchorage,70,
11/1/15,Cal Baptist,77,Upper Iowa,75,
11/1/15,@La Cite,96,Centennial Col,79,
11/1/15,@Loyalist,94,Georgian,66,
11/1/15,@Niagara ON,80,St Clair,69,
11/1/15,Midland TX,90,Angelina,85,
11/1/15,Lee TX,95,Howard Col,83,
11/1/15,Jamestown CC,88,@Tompkins Cortland,59,
11/1/15,@Humber,83,Sault,53,
11/1/15,@Sheridan ON,102,Cambrian,66,
11/1/15,Moorhead St,74,W Washington,71,
11/1/15,@Crandall,73,St Thomas NB,56,
11/1/15,@Mt Allison,84,MS Vincent NS,81,
11/1/15,Oregon Tech,86,New Hope Chr,74,
11/1/15,McGill,74,@Ottawa ON,70,
11/1/15,@SUNY-Delhi,113,Central Penn,100,
11/1/15,New Brunswick,91,York ON,81,
11/1/15,@Concordia AL,70,Oakwood,61,
11/2/15,ASA,101,@Burlington Co,74,
11/2/15,@NE MS CC,102,Baton Rouge CC,75,
11/2/15,Holmes CC,82,@Copiah-Lincoln,74,
11/2/15,Pearl River CC,80,@Delgado CC,63,
11/2/15,@Itawamba CC,67,Lawson St,65,
11/2/15,Jones Co CC,98,NW Mississippi,90,
11/2/15,Motlow St,92,@Snead St,70,
11/2/15,@Rend Lake,102,IL Central,82,
11/2/15,Cumberland TN,68,@Martin Meth,66,
11/2/15,Fisk,64,@Blue Mtn,58,
11/2/15,Culver-Stockton,93,@Hannibal-Lagr,89,
11/2/15,@Graceland,96,Doane,73,
11/2/15,@St Gregory's,98,LSU Shreveport,94,
11/2/15,@Mid Am Nazarene,105,Mid-Am Chr,89,
11/2/15,@East Central CC,97,Coahoma CC,79,
11/2/15,Johnson Co,84,@N Central MO,75,
11/2/15,@LSU-Alexandria,96,Loyola NO,82,
11/2/15,Governors St,99,@Purdue-N Cent,93,
11/2/15,@St Andrew's,94,Barber-Scotia,81,
11/2/15,@Meridian CC,89,Wallace CC-Selma,59,
11/2/15,@MS Delta,62,Hinds CC,50,
11/2/15,@Sauk Valley CC,88,Truman Col,40,
11/2/15,@St Joseph VT,99,Hampshire,49,
11/3/15,Allen Co,105,@Labette CC,89,
11/3/15,@McLennan CC,96,Angelina,76,
11/3/15,@Ark Baptist,88,Connors St,83,
11/3/15,NW Mississippi,83,Baton Rouge CC,67,
11/3/15,@N OK-Tonkawa,92,Butler Co-KS,68,
11/3/15,@Cloud Co,83,Southeast CC,82,
11/3/15,@NE OK A&M,82,Coffeyville CC,78,
11/3/15,@Dodge City CC,75,North Platte CC,61,
11/3/15,So Crescent Tech,72,@Gordon GA,67,
11/3/15,@John Logan,87,Three Rivers,80,
11/3/15,Jones Co CC,86,@NE MS CC,84,
11/3/15,@Kilgore,83,Cedar Valley,70,
11/3/15,Mineral Area,78,@Lewis & Clark CC,55,
11/3/15,Marion Mil,65,@Lurleen Wallace,63,
11/3/15,Morton,82,@Daley,61,
11/3/15,Southern-Shreve,77,@SW Chr TX,63,
11/3/15,W Oklahoma St,79,@Western Texas,75,
11/3/15,@Black Hawk-M,81,Lincoln Col,74,
11/3/15,@Northern Virginia CC,111,CCBC-Dundalk,90,
11/3/15,@Kishwaukee CC,102,Harper,84,
11/3/15,@McHenry Co,77,Wilbur Wright,58,
11/3/15,Triton Col,75,@Moraine Val,51,
11/3/15,Potomac St-WVU,79,@Anne Arundel,52,
11/3/15,Bunker Hill CC,87,@CC of RI,69,
11/3/15,@S Suburban,74,Waubonsee CC,72,
11/3/15,Bristol CC,77,@Quinsigamond,74,
11/3/15,@Herkimer Co,69,Cayuga CC,54,
11/3/15,Mohawk Val,72,@Columbia Greene,50,
11/3/15,@Fulton-Mont,82,SUNY-Delhi,75,
11/3/15,Sullivan Co,70,@Ulster Co,53,
11/3/15,Benedictine KS,75,@Lindenwood-Belleville,68,
11/3/15,@Dordt,79,Dakota St,63,
11/3/15,@Waldorf,82,Dakota Wesleyan,79,
11/3/15,@Bethany KS,82,SW Christian,74,
11/3/15,@Cumberlands KY,85,IN Southeast,70,
11/3/15,Mt Mercy,72,@St Ambrose,71,
11/3/15,Ohio Chr,75,@Union KY,74,
11/3/15,@Wm Jessup,89,Simpson CA,73,
11/3/15,Tabor,81,@Wm Woods,70,
11/3/15,@Seneca,85,Fleming,73,
11/3/15,@Auburn M'gomery,91,Reinhardt,87,
11/3/15,@Avila,115,Haskell,59,
11/3/15,Lyon,75,@Bacone,61,
11/3/15,@Biola,66,Benedictine AZ,52,
11/3/15,Coastal GA,61,@Edward Waters,51,
11/3/15,Grace IN,61,@Lawrence Tech,59,
11/3/15,Harris-Stowe,70,@Williams Bap,61,
11/3/15,@Indiana-East,99,Madonna,90,
11/3/15,@Judson IL,96,IU Kokomo,94,
11/3/15,Wiley,62,@SW Assemb God,58,
11/3/15,AL Southern,61,@S Union St,43,
11/3/15,@Harford CC,81,Globe Tech,79,
11/3/15,@N OK-Enid,93,Hesston,89,
11/3/15,@Cuyahoga CC,71,Mercyhurst NE,57,
11/3/15,Danville CC,90,@Prairie St,43,
11/3/15,@Rockland CC,91,Hostos CC,78,
11/3/15,@Atlantic Cape CC,86,Montgomery Co CC,82,
11/3/15,@Gloucester Co,87,Delaware Co CC,56,
11/3/15,@Concordia MI,63,Calumet-St Jos,60,
11/3/15,Georgetown KY,94,@Washington Advt,86,
11/3/15,@Goshen,85,Siena Hts,61,
11/3/15,Indiana Tech,96,@Roosevelt,66,
11/3/15,@Jamestown,80,Midland NE,69,
11/3/15,@Oklahoma S&A,75,Langston,74,
11/3/15,@Pikeville,104,Montreat And,71,
11/3/15,Paul Quinn,92,@Philander Smith,83,
11/3/15,@Wm Carey,96,Tougaloo,90,
11/3/15,Wright St-Lake,68,@Clark St,59,
11/3/15,@North Lake,103,SW Adventist,59,
11/3/15,N Essex CC,91,@NH Tech,68,
11/3/15,Westmoreland Co,75,@PSU-Gtr Allegheny,72,
11/3/15,@Vermont Tech,76,Hampshire,48,
11/3/15,C Maine Tech,115,@Unity,74,
11/3/15,@W Wyoming CC,64,Colorado NW,44,
11/3/15,@Oakwood,80,Point,64,
11/3/15,@Lackawanna,83,Luzerne Co CC,61,
11/3/15,@Warner,78,Florida Col,69,
11/3/15,@Carlow,88,Mt Vernon Naz,86,
11/3/15,@DE Tech CC,91,Stevens Tech PA,59,
11/3/15,@Passaic Co,75,Bucks Co CC,69,
11/3/15,@Jamestown CC,99,Lakeland CC,88,
11/3/15,@Oakton CC,82,Truman Col,63,
11/3/15,@Alice Lloyd,85,Kentucky Chr,74,
11/3/15,Central Bap,84,@Ecclesia,50,
11/3/15,@MO Baptist,122,Concordia MO,46,
11/3/15,Arlington Bap,82,@Rhema Bib,73,
11/3/15,Williamson Tr,78,@Lehigh Carbon,59,
11/3/15,@ME Presque Isle,73,St Thomas NB,43,
11/4/15,Atlanta Metro,92,@Lawson St,81,
11/4/15,@East Georgia Col,77,Chattahoochee Val,71,
11/4/15,@Eastern Arizona,103,NM Military,89,
